"sku","title","weight","length","updated_at"
"AGSDH76","12 Cell Bedding Plant Pack Tray Inserts for Half Size Seed Trays x 100","2.6","0.26","2022-09-27 10:47:04"
"JKAHS94","200 x 12 Cell Bedding Plant Pack Tray Inserts for Half Size Seed Trays","5.2","0.26","2022-09-27 10:47:04"
"00002","25 x 12 Cell Bedding Plant Pack Tray Inserts for Half Size Seed Trays","0.801","0.26","2022-09-27 10:47:04"
"00003","400 x 12 Cell Bedding Plant Pack/Tray ","10.4","0.5","2022-09-27 10:47:04"
"00004","Elixir Gardens 50 x 12 Cell Bedding Plant Pack Inserts for Half Size Propagator Trays","1.3","0.26","2022-09-27 10:47:04"
"00005","100 x 20 Cell Bedding Plant Pack Tray Inserts for Half Size Seed Trays","2.5","0.26","2022-09-27 10:47:04"
"00006","Elixir Gardens 200 x 20 Cell Bedding Plant Pack Inserts for Half Size Propagator Trays","5","0.26","2022-09-27 10:47:04"
"00007","25 x 20 Cell Bedding Plant Pack Tray Inserts for Half Size Seed Trays","0.7","0.26","2022-09-27 10:47:04"
"00008","50 x 20 Cell Bedding Plant Pack Tray Inserts for Half Size Seed Trays","1.4","0.26","2022-09-27 10:47:04"
"00009","400 x 20 Cell Bedding Plant Pack/Tray ","10","0.5","2022-09-27 10:47:04"
"00010","Elixir Gardens ® 200 x 24 Cell Bedding Plant Pack Inserts for Full Size Trays","8.4","0.4","2022-09-27 10:47:04"
"00011","100 x 24's Seed Tray Inserts/Bedding Trays","4.2","0.26","2022-09-27 10:47:04"
"00012","Elixir Gardens « 10 x 24 Cell Bedding Plant Pack Inserts for Full Size Trays","0.41","0.26","2022-09-27 10:47:04"
"00013","25 x 24's Seed Tray Inserts/Bedding Trays","1.05","0.26","2022-09-27 10:47:04"
"00014","50 x 24 Cell Bedding Plant Pack Tray Inserts for Full Size Seed Trays","2.1","0.26","2022-09-27 10:47:04"
"00015","High Nitrogen Flower, Vegetable, Plant &amp; Lawn Food/Fertiliser | 10 Litre Bottle","10","0.26","2022-09-27 10:47:04"
"00016","High Nitrogen Flower, Vegetable, Plant &amp; Lawn Food/Fertiliser | 1 Litre Bottle","1.2","0.26","2022-09-27 10:47:04"
"00017","High Nitrogen Flower, Vegetable, Plant &amp; Lawn Food/Fertiliser | 2.5 Litre Bottle","2.5","0.3","2022-09-27 10:47:04"
"00018","High Nitrogen Flower, Vegetable, Plant &amp; Lawn Food/Fertiliser | 5 Litre Bottle","5","0.35","2022-09-27 10:47:04"
"00019","100 x 40 Cell Bedding Plant Pack Tray Inserts for Full Size Seed Trays","3.8","0.26","2022-09-27 10:47:04"
"00020","10 x 40 Cell Bedding Plant Pack Tray Inserts for Full Size Seed Trays","0.37","0.26","2022-09-27 10:47:04"
"00021","Cell Seed Tray Inserts Bedding Professional grade Full &amp; Half Sizes Available","0.925","0.26","2022-09-27 10:47:04"
"00022","40 Cell Bedding Plant Pack Tray Inserts for Full Size x 50","1.9","0.36","2022-09-27 10:47:04"
"00023","4 Cell Bedding Plant Pack Tray Inserts for Half Size Seed Trays x 100","2.9","0.26","2022-09-27 10:47:04"
"00024","200 x 4 Cell Bedding Plant Pack Tray Inserts for Half Size Seed Trays","5.8","0.4","2022-09-27 10:47:04"
"00025","Elixir Gardens « 25 x 4 Cell Bedding Plant Pack Inserts for Half Size Tray","0.725","0.26","2022-09-27 10:47:04"
"00026","400 x 4 Cell Bedding Plant Pack/Tray ","11.6","0.26","2022-09-27 10:47:04"
"00027","Elixir Gardens « 50 x 4 Cell Bedding Plant Pack Inserts for Half Size Tray","1.45","0.26","2022-09-27 10:47:04"
"00028","Elixir Gardens 10 x 4 Cell Seed Sowing Division Strip Tray Insert to Fit Standard British Propagator Trays","0.28","0.26","2022-09-27 10:47:04"
"00029","25 x 4 Strip Seed Tray Inserts for Full Size Seed Tray","0.775","0.26","2022-09-27 10:47:04"
"00030","Elixir Gardens ® 50 x 4 Strip Inserts for Full Size Seed Trays","1.4","0.26","2022-09-27 10:47:04"
"00031","Elixir Gardens 5 Cell Seed Sowing Division Strip Tray Insert to Fit Standard British Propagator Trays x 10","0.3","0.26","2022-09-27 10:47:04"
"00032","Elixir Gardens « 5 Strip Seed Tray Inserts for Full size Seed Tray x 250","7.25","0.5","2022-09-27 10:47:04"
"00033","25 x 5 Strip Seed Tray Inserts for Full size Seed Tray","0.725","0.26","2022-09-27 10:47:04"
"00034","50 x 5 Strip Seed Tray Inserts for Full size Seed Tray","1.45","0.26","2022-09-27 10:47:04"
"00035","100 x 5 Strip Seed Tray Inserts for Full size Seed Tray","2.9","0.26","2022-09-27 10:47:04"
"00036","60 Cell Bedding Plant Pack Tray Inserts for Full Size Seed Trays x 50","2.1","0.36","2022-09-27 10:47:04"
"00037","Elixir Gardens « 100 x 6 Cell Bedding Plant Pack Inserts for Half Size Tray","2.7","0.26","2022-09-27 10:47:04"
"00038","Elixir Gardens « 200 x 6 Cell Bedding Plant Pack Insert for Half Size Tray","5.4","0.26","2022-09-27 10:47:04"
"00039","Elixir Gardens « 25 x 6 Cell Bedding Plant Pack Insert for Half Size Tray","0.675","0.26","2022-09-27 10:47:04"
"00040","400 x 6 Cell Bedding Plant Pack Tray Inserts for Half Size Seed Trays","10.8","0.5","2022-09-27 10:47:04"
"00041","Elixir Gardens « 50 x 6 Cell Bedding Plant Pack Inserts for Half Size Tray","1.35","0.26","2022-09-27 10:47:04"
"00042","100 x 6 cell Trolley Selling Packs Bedding Plant Trays","1.32","0.26","2022-09-27 10:47:04"
"00043","Elixir Gardens ® 6 cell Trolly Selling Packs Bedding Plant Trays x 200","2.64","0.26","2022-09-27 10:47:04"
"00044","375 x 6 cell Trolley Selling Packs Bedding Plant Trays","4.95","0.5","2022-09-27 10:47:04"
"00045","750 x 6 cell Trolley Selling Packs Bedding Plant Trays","9.9","0.5","2022-09-27 10:47:04"
"00046","375 x 8 cell Trolley Selling Packs Bedding Plant Trays","4.8","0.5","2022-09-27 10:47:04"
"00047","100 x 8 cell Trolley Selling Packs Bedding Plant Trays","1.28","0.26","2022-09-27 10:47:04"
"00048","200 x 8 cell Trolley Selling Packs Bedding Plant Trays","2.56","0.26","2022-09-27 10:47:04"
"00049","750 x 8 cell Trolley Selling Packs Bedding Plant Trays","9.6","0.5","2022-09-27 10:47:04"
"00050","Elixir Gardens « 100 x 9 cell Bedding Plant Pack Inserts for Half Size Trays Propagator","2.65","0.26","2022-09-27 10:47:04"
"00051","9 Cell Bedding Plant Pack Tray Inserts for Half Size Seed Trays x 200","5.3","0.26","2022-09-27 10:47:04"
"00052","25 x 9 Cell Bedding Plant Pack Tray Inserts for Half Size Seed Trays","0.665","0.26","2022-09-27 10:47:04"
"00053","400 x 9 Cell Bedding Plant Pack/Tray ","10.6","0.5","2022-09-27 10:47:04"
"00054","Elixir Gardens « 50 x 9 cell Bedding Plant Pack Inserts for Half Size Trays Propagator","1.325","0.26","2022-09-27 10:47:04"
"00055","Elixir Gardens 9cm Thermoformed Seed Starting Seedling Terracotta Plastic Plant Pot/Flower Pots x 100...","0.75","0.26","2022-09-27 10:47:04"
"00056","1Kg Mono Ammonium Phosphate Fertilizer","1","0.26","2022-09-27 10:47:04"
"00057","Elixir 2.5Kg Mono Ammonium Phosphate Fertilizer","2.5","0.3","2022-09-27 10:47:04"
"00058","25 Kg Mono Ammonium Phosphate Fertilizer","25","0.6","2022-09-27 10:47:04"
"00059","Elixir 500g Mono Ammonium Phosphate Fertilizer","0.5","0.26","2022-09-27 10:47:04"
"00060","ON SALE - (15% OFF) Growing Success Apple Maggot Traps","0.1","0","2022-09-27 10:47:04"
"00061","Elixir Gardens ® Autumn &amp; Winter Lawn Food (Mini Granuals) 10Kg Bag","10","0.45","2022-09-27 10:47:04"
"00062","Elixir Gardens ® Autumn &amp; Winter Lawn Food (Mini Granuals) 2.5Kg Bag","2.5","0.3","2022-09-27 10:47:04"
"00063","Elixir Gardens ® Autumn &amp; Winter Lawn Food (Mini Granuals) 25Kg Bag","25","0.6","2022-09-27 10:47:04"
"00064","Elixir 10lt general purpose even balanced plant food/fertilizer","12.6","0.26","2022-09-27 10:47:04"
"00065","15kg Bath Bomb Kit | 10kg Bicarbonate of Soda + 5kg Citric Acid","15","0.4","2022-09-27 10:47:04"
"00066","1.5kg Bath Bomb Kit | 1kg Bicarbonate of Soda + 500g Citric Acid","1.5","0.3","2022-09-27 10:47:04"
"00067","3kg Bath Bomb Kit |  2kg Bicarbonate of Soda + 1kg Citric Acid","3","0.4","2022-09-27 10:47:04"
